Reaction,LowerBound,UpperBound,width,iswidthzero,arebothboundszero,isnotreversible
EX_eca4colipa_LPAREN_e_RPAREN_,0,0.0043619729,0.0043619729,0,0,1
EX_enlipa_LPAREN_e_RPAREN_,0,0.0064666667,0.0064666667,0,0,1
EX_enter_LPAREN_e_RPAREN_,0,0.0238289959,0.0238289959,0,0,1
EX_etha_LPAREN_e_RPAREN_,0,0.3110260872,0.3110260872,0,0,1
EX_ethso3_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_etoh_LPAREN_e_RPAREN_,0,0.46,0.46,0,0,1
EX_f6p_LPAREN_e_RPAREN_,0,2.36658271566294E-28,2.36658271566294E-28,0,0,1
EX_fald_LPAREN_e_RPAREN_,0,-2.4889558327299E-28,-2.4889558327299E-28,0,0,1
EX_fe2_LPAREN_e_RPAREN_,-1000,1.9096037879,1001.9096037879,0,0,0
EX_fe3_LPAREN_e_RPAREN_,-1.9096037879,1000,1001.9096037879,0,0,0
EX_fe3dcit_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_fe3dhbzs_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_fe3hox_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_fe3hox_DASH_un_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_fecrm_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_fecrm_DASH_un_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_feenter_LPAREN_e_RPAREN_,0,0.0238289959,0.0238289959,0,0,1
EX_feoxam_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_feoxam_DASH_un_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_for_LPAREN_e_RPAREN_,0,2.2311938955,2.2311938955,0,0,1
EX_fru_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_frulys_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_fruur_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_fuc_DASH_L_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_fum_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_fusa_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_g1p_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_g3pc_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_g3pe_LPAREN_e_RPAREN_,0,0.0194,0.0194,0,0,1
EX_g3pg_LPAREN_e_RPAREN_,0,0.0194,0.0194,0,0,1
EX_g3pi_LPAREN_e_RPAREN_,0,-2.49730791601297E-18,-2.49730791601297E-18,0,0,1
EX_g3ps_LPAREN_e_RPAREN_,0,-3.07303607492808E-33,-3.07303607492808E-33,0,0,1
EX_g6p_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_gal_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_gal_DASH_bD_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_gal1p_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_galct_DASH_D_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_galctn_DASH_D_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_galctn_DASH_L_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_galt_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_galur_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_gam_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_gam6p_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_gbbtn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_gdp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_glc_LPAREN_e_RPAREN_,-0.23,-0.23,0,1,0,1
EX_glcn_LPAREN_e_RPAREN_,0,0.23,0.23,0,0,1
EX_glcr_LPAREN_e_RPAREN_,0,-2.07801036210475E-28,-2.07801036210475E-28,0,0,1
EX_glcur_LPAREN_e_RPAREN_,0,2.51580890356735E-28,2.51580890356735E-28,0,0,1
EX_glcur1p_LPAREN_e_RPAREN_,0,2.99767143983984E-28,2.99767143983984E-28,0,0,1
EX_gln_DASH_L_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_glu_DASH_L_LPAREN_e_RPAREN_,0,0.2178542628,0.2178542628,0,0,1
EX_gly_LPAREN_e_RPAREN_,0,0.6231473239,0.6231473239,0,0,1
EX_glyald_LPAREN_e_RPAREN_,0,0.23,0.23,0,0,1
EX_glyb_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_glyc_LPAREN_e_RPAREN_,0,0.23,0.23,0,0,1
EX_glyc_DASH_R_LPAREN_e_RPAREN_,0,0.2019869994,0.2019869994,0,0,1
EX_glyc2p_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_glyc3p_LPAREN_e_RPAREN_,0,0.0194,0.0194,0,0,1
EX_glyclt_LPAREN_e_RPAREN_,0,0.3949682089,0.3949682089,0,0,1
EX_gmp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_gsn_LPAREN_e_RPAREN_,0,-1.26217744835362E-29,-1.26217744835362E-29,0,0,1
EX_gthox_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_gthrd_LPAREN_e_RPAREN_,0,0.0957027744,0.0957027744,0,0,1
EX_gtp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_gua_LPAREN_e_RPAREN_,0,0.2344522774,0.2344522774,0,0,1
EX_h_LPAREN_e_RPAREN_,-1000,2.3724316481,1002.3724316481,0,0,0
EX_h2_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_h2o_LPAREN_e_RPAREN_,-0.8511938955,502.552261387,503.4034552825,0,0,0
EX_h2o2_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_h2s_LPAREN_e_RPAREN_,0,0.46072644,0.46072644,0,0,1
EX_hacolipa_LPAREN_e_RPAREN_,0,4.41762106923765E-29,4.41762106923765E-29,0,0,1
EX_halipa_LPAREN_e_RPAREN_,0,3.23117426778526E-27,3.23117426778526E-27,0,0,1
EX_hdca_LPAREN_e_RPAREN_,0,2.96918204308996E-28,2.96918204308996E-28,0,0,1
EX_hdcea_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_hg2_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_his_DASH_L_LPAREN_e_RPAREN_,0,0.0608574333,0.0608574333,0,0,1
EX_hom_DASH_L_LPAREN_e_RPAREN_,0,0.311135597,0.311135597,0,0,1
EX_hxa_LPAREN_e_RPAREN_,0,0.1725,0.1725,0,0,1
EX_hxan_LPAREN_e_RPAREN_,0,0.2480437138,0.2480437138,0,0,1
EX_idon_DASH_L_LPAREN_e_RPAREN_,0,0.23,0.23,0,0,1
EX_ile_DASH_L_LPAREN_e_RPAREN_,0,0.1759568424,0.1759568424,0,0,1
EX_imp_LPAREN_e_RPAREN_,0,8.81791348131071E-33,8.81791348131071E-33,0,0,1
EX_indole_LPAREN_e_RPAREN_,0,0.0357434938,0.0357434938,0,0,1
EX_inost_LPAREN_e_RPAREN_,0,-1.68290326447149E-29,-1.68290326447149E-29,0,0,1
EX_ins_LPAREN_e_RPAREN_,0,0.0608574333,0.0608574333,0,0,1
EX_isetac_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_k_LPAREN_e_RPAREN_,-0.0039255883,0,0.0039255883,0,0,1
EX_kdo2lipid4_LPAREN_e_RPAREN_,0,0.0097,0.0097,0,0,1
EX_lac_DASH_D_LPAREN_e_RPAREN_,0,0.46,0.46,0,0,1
EX_lac_DASH_L_LPAREN_e_RPAREN_,0,0.3916574062,0.3916574062,0,0,1
EX_lcts_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_leu_DASH_L_LPAREN_e_RPAREN_,0,0.1778805494,0.1778805494,0,0,1
EX_lipa_LPAREN_e_RPAREN_,0,0.0096854098,0.0096854098,0,0,1
EX_lipa_cold_LPAREN_e_RPAREN_,0,0.0093306468,0.0093306468,0,0,1
EX_lipoate_LPAREN_e_RPAREN_,-6.18115194724424E-08,0,6.18115194724424E-08,0,0,1
EX_lys_DASH_L_LPAREN_e_RPAREN_,0,0.1865749277,0.1865749277,0,0,1
EX_lyx_DASH_L_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_mal_DASH_D_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_mal_DASH_L_LPAREN_e_RPAREN_,0,0.4298536805,0.4298536805,0,0,1
EX_malt_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_malthx_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_maltpt_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_malttr_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_maltttr_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_man_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_man6p_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_manglyc_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_melib_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_meoh_LPAREN_e_RPAREN_,0,7.37249993232344E-09,7.37249993232344E-09,0,0,1
EX_met_DASH_D_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_met_DASH_L_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_metsox_DASH_R_DASH_L_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_metsox_DASH_S_DASH_L_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_mg2_LPAREN_e_RPAREN_,-0.0001744657,0,0.0001744657,0,0,1
EX_mincyc_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_minohp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_mmet_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_mn2_LPAREN_e_RPAREN_,-1.3896920169019E-05,0,1.3896920169019E-05,0,0,1
EX_mnl_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_mobd_LPAREN_e_RPAREN_,-2.86664667694608E-06,0,2.86664667694608E-06,0,0,1
EX_mso3_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_n2o_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_na1_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_nac_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_nh4_LPAREN_e_RPAREN_,-1.2116531922,-2.92255959710551E-14,1.2116531922,0,0,1
EX_ni2_LPAREN_e_RPAREN_,-0.000006496,0,0.000006496,0,0,1
EX_nmn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_no_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_no2_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_no3_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_novbcn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_o16a4colipa_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_o2_LPAREN_e_RPAREN_,-251.38,3.4226487642264E-13,251.38,0,0,0
EX_o2s_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ocdca_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ocdcea_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_octa_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_orn_LPAREN_e_RPAREN_,0,0.0957027744,0.0957027744,0,0,1
EX_orot_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_pacald_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_peamn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_phe_DASH_L_LPAREN_e_RPAREN_,0,0.0714869876,0.0714869876,0,0,1
EX_pheme_LPAREN_e_RPAREN_,0,0.0272317829,0.0272317829,0,0,1
EX_pi_LPAREN_e_RPAREN_,-0.0194,-5.05964966826124E-13,0.0194,0,0,1
EX_pnto_DASH_R_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ppa_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ppal_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_pppn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ppt_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_pro_DASH_L_LPAREN_e_RPAREN_,0,0.2178542628,0.2178542628,0,0,1
EX_progly_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_psclys_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_pser_DASH_L_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ptrc_LPAREN_e_RPAREN_,0,0.0957027744,0.0957027744,0,0,1
EX_pydam_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_pydx_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_pydxn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_pyr_LPAREN_e_RPAREN_,0,0.5413658213,0.5413658213,0,0,1
EX_quin_LPAREN_e_RPAREN_,0,0.0714869876,0.0714869876,0,0,1
EX_r5p_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_rfamp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_rib_DASH_D_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_rmn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_sbt_DASH_D_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_sel_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ser_DASH_D_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ser_DASH_L_LPAREN_e_RPAREN_,0,0.4847798262,0.4847798262,0,0,1
EX_skm_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_slnt_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_so2_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_so3_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_so4_LPAREN_e_RPAREN_,-0.46072644,0,0.46072644,0,0,1
EX_spmd_LPAREN_e_RPAREN_,0,0.0478513872,0.0478513872,0,0,1
EX_succ_LPAREN_e_RPAREN_,0,0.3938220355,0.3938220355,0,0,1
EX_sucr_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_sulfac_LPAREN_e_RPAREN_,0,-6.46234853557053E-28,-6.46234853557053E-28,0,0,1
EX_tartr_DASH_D_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_tartr_DASH_L_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_taur_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_tcynt_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_thm_LPAREN_e_RPAREN_,0,8.75109697525181E-28,8.75109697525181E-28,0,0,1
EX_thr_DASH_L_LPAREN_e_RPAREN_,0,0.3028972437,0.3028972437,0,0,1
EX_thrp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_thym_LPAREN_e_RPAREN_,0,0.2626276679,0.2626276679,0,0,1
EX_thymd_LPAREN_e_RPAREN_,0,0.0608574333,0.0608574333,0,0,1
EX_tma_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_tmao_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_tre_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_trp_DASH_L_LPAREN_e_RPAREN_,0,0.0357434938,0.0357434938,0,0,1
EX_tsul_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ttdca_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ttdcea_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ttrcyc_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_tungs_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_tym_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_tyr_DASH_L_LPAREN_e_RPAREN_,0,0.0714869876,0.0714869876,0,0,1
EX_tyrp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_uacgam_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_udpacgal_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_udpg_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_udpgal_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_udpglcur_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ump_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ura_LPAREN_e_RPAREN_,0,0.4182179432,0.4182179432,0,0,1
EX_urea_LPAREN_e_RPAREN_,0,0.0957027744,0.0957027744,0,0,1
EX_uri_LPAREN_e_RPAREN_,0,0.0608574333,0.0608574333,0,0,1
EX_val_DASH_L_LPAREN_e_RPAREN_,0,0.23,0.23,0,0,1
EX_xan_LPAREN_e_RPAREN_,0,0.2674221289,0.2674221289,0,0,1
EX_xmp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_xtsn_LPAREN_e_RPAREN_,0,0.0608574333,0.0608574333,0,0,1
EX_xyl_DASH_D_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_xylu_DASH_L_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_zn2_LPAREN_e_RPAREN_,-0.000006858,0,0.000006858,0,0,1
12DGR120tipp,0,1.1213614463,1.1213614463,0,0,1
12DGR140tipp,0,1.1213614463,1.1213614463,0,0,1
12DGR141tipp,0,1.1213614463,1.1213614463,0,0,1
12DGR160tipp,0,1.1213614463,1.1213614463,0,0,1
12DGR161tipp,0,1.1213614463,1.1213614463,0,0,1
12DGR180tipp,0,1.1213614463,1.1213614463,0,0,1
12DGR181tipp,0,1.1213614463,1.1213614463,0,0,1
12PPDRtex,-0.3301117037,0,0.3301117037,0,0,1
12PPDRtpp,-0.3301117037,0,0.3301117037,0,0,1
12PPDStex,-0.326379244,0,0.326379244,0,0,1
12PPDStpp,-0.326379244,0,0.326379244,0,0,1
14GLUCANabcpp,0,0,0,1,1,1
14GLUCANtexi,0,0,0,1,1,1
23CAMPtex,1.88534784331557E-14,0,-1.88534784331557E-14,0,0,1
23CCMPtex,0,0,0,1,1,1
23CGMPtex,0,0,0,1,1,1
23CUMPtex,0,0,0,1,1,1
23DAPPAt2pp,0,-2.3500082088617E-17,-2.3500082088617E-17,0,0,1
