"","Reaction","LowerBound","UpperBound","Reaction Name","Formula","Gene-Protein-Reaction Association","Gene-Reaction Association","Protein-Reaction Association","Subsystem","EC Number","Reversible","Lower Bound","Upper Bound","Objective (c)"
"11","5MTRtex",-0.0478513872,0,"5-Methylthio-D-ribose transport via proton diffusion (extracellular to periplasm)","5mtr[e]  <=> 5mtr[p]","( OmpN (b1377)  ) or ( OmpF (b0929)  ) or ( OmpC (b2215)  ) or ( PhoE (b0241)  )","(b1377 or b0929 or b2215 or b0241)","( OmpN ) or ( OmpF ) or ( OmpC ) or ( PhoE )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"12","ABUTtex",-0.2178542628,0,"4-aminobutyrate transport via diffusion (extracellular to periplasm)","4abut[e]  <=> 4abut[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"13","ACACT1r",-0.2026449734,0.1725,"acetyl-CoA C-acetyltransferase","2 accoa[c]  <=> aacoa[c] + coa[c]","( AtoB (b2224)  ) or ( FadI (b2342)  ) or ( FadA (b3845)  )","(b2224 or b2342 or b3845)","( AtoB ) or ( FadI ) or ( FadA )","Membrane Lipid Metabolism","2.3.1.9",1,-1000,1000,0
"14","ACACT2r",-0.2026449734,0.1725,"acetyl-CoA C-acyltransferase (butanoyl-CoA) (r)","accoa[c] + btcoa[c]  <=> 3ohcoa[c] + coa[c]","( FadI (b2342)  ) or ( FadA (b3845)  )","(b2342 or b3845)","( FadI ) or ( FadA )","Membrane Lipid Metabolism","2.3.1.16",1,-1000,1000,0
"15","ACACT3r",-0.2026449734,0.0581124586,"acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r)","accoa[c] + hxcoa[c]  <=> 3oocoa[c] + coa[c]","( FadI (b2342)  ) or ( FadA (b3845)  )","(b2342 or b3845)","( FadI ) or ( FadA )","Membrane Lipid Metabolism","2.3.1.16",1,-1000,1000,0
"16","ACACT4r",-0.4179111706,0.0581124586,"acetyl-CoA C-acyltransferase (octanoyl-CoA) (r)","accoa[c] + occoa[c]  <=> 3odcoa[c] + coa[c]","( FadI (b2342)  ) or ( FadA (b3845)  )","(b2342 or b3845)","( FadI ) or ( FadA )","Membrane Lipid Metabolism","2.3.1.16",1,-1000,1000,0
"17","ACACT5r",-0.6471832241,0.0581124586,"acetyl-CoA C-acyltransferase (decanoyl-CoA) (r)","accoa[c] + dcacoa[c]  <=> 3oddcoa[c] + coa[c]","( FadI (b2342)  ) or ( FadA (b3845)  )","(b2342 or b3845)","( FadI ) or ( FadA )","Membrane Lipid Metabolism","2.3.1.16",1,-1000,1000,0
"18","ACACT6r",-0.6471832225,0.0186612936,"acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r)","accoa[c] + ddcacoa[c]  <=> 3otdcoa[c] + coa[c]","( FadI (b2342)  ) or ( FadA (b3845)  )","(b2342 or b3845)","( FadI ) or ( FadA )","Membrane Lipid Metabolism","2.3.1.16",1,-1000,1000,0
"19","ACACT7r",-0.6471832241,0.0093306468,"acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r)","accoa[c] + tdcoa[c]  <=> 3ohdcoa[c] + coa[c]","( FadI (b2342)  ) or ( FadA (b3845)  )","(b2342 or b3845)","( FadI ) or ( FadA )","Membrane Lipid Metabolism","2.3.1.16",1,-1000,1000,0
"20","ACACT8r",-0.0010174713,0.6471832271,"acetyl-CoA acyltransferase (hexadecanoyl-CoA) (r)","3oodcoa[c] + coa[c]  <=> accoa[c] + pmtcoa[c]","( FadI (b2342)  ) or ( FadA (b3845)  )","(b2342 or b3845)","( FadI ) or ( FadA )","Membrane Lipid Metabolism","2.3.1.16",1,-1000,1000,0
"21","ACALD",-0.6438490581,8.5526455921,"acetaldehyde dehydrogenase (acetylating)","acald[c] + coa[c] + nad[c]  <=> accoa[c] + h[c] + nadh[c]","( MhpF (b0351)  ) or ( AdhE (b1241)  )","(b0351 or b1241)","( MhpF ) or ( AdhE )","Pyruvate Metabolism","1.2.1.10",1,-1000,1000,0
"22","ACALDtex",-0.5491602163,0,"acetaldehyde transport via diffusion (extracellular to periplasm)","acald[e]  <=> acald[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"23","ACALDtpp",-0.5491602163,0,"acetaldehyde reversible transport (periplasm)","acald[p]  <=> acald[c]","SPONTANEOUS (s0001)","s0001","SPONTANEOUS","Transport, Inner Membrane",NA,1,-1000,1000,0
"24","ACKr",-0.0702811486,4.27061589169374e-16,"acetate kinase","ac[c] + atp[c]  <=> actp[c] + adp[c]","( TdcD (b3115)  ) or ( AckA (b2296)  ) or ( PurT (b1849)  )","(b3115 or b2296 or b1849)","( TdcD ) or ( AckA ) or ( PurT )","Pyruvate Metabolism","2.7.2.1",1,-1000,1000,0
"25","ACOAD1f",-0.1725,0.2026449742,"acyl-CoA dehydrogenase (butanoyl-CoA)","btcoa[c] + fad[c]  <=> b2coa[c] + fadh2[c]","FadE (b0221)","b0221","FadE","Membrane Lipid Metabolism","1.3.99.2",1,-1000,1000,0
"26","ACOAD2f",-0.1725,0.2026449742,"acyl-CoA dehydrogenase (hexanoyl-CoA)","fad[c] + hxcoa[c]  <=> fadh2[c] + hx2coa[c]","FadE (b0221)","b0221","FadE","Membrane Lipid Metabolism","1.3.99.3",1,-1000,1000,0
"27","ACOAD3f",-0.0581124585,0.2026449742,"acyl-CoA dehydrogenase (octanoyl-CoA)","fad[c] + occoa[c]  <=> fadh2[c] + oc2coa[c]","FadE (b0221)","b0221","FadE","Membrane Lipid Metabolism","1.3.99.3",1,-1000,1000,0
"28","ACOAD4f",-0.0581124585,0.4179111725,"acyl-CoA dehydrogenase (decanoyl-CoA)","dcacoa[c] + fad[c]  <=> dc2coa[c] + fadh2[c]","FadE (b0221)","b0221","FadE","Membrane Lipid Metabolism","1.3.99.3",1,-1000,1000,0
"29","ACOAD5f",-0.0581124585,0.6471832255,"acyl-CoA dehydrogenase (dodecanoyl-CoA)","ddcacoa[c] + fad[c]  <=> dd2coa[c] + fadh2[c]","FadE (b0221)","b0221","FadE","Membrane Lipid Metabolism","1.3.99.3",1,-1000,1000,0
"30","ACOAD6f",-0.0186612936,0.6471832255,"acyl-CoA dehydrogenase (tetradecanoyl-CoA)","fad[c] + tdcoa[c]  <=> fadh2[c] + td2coa[c]","FadE (b0221)","b0221","FadE","Membrane Lipid Metabolism","1.3.99.3",1,-1000,1000,0
"31","ACOAD7f",-0.0035556463,0.6471832255,"acyl-CoA dehydrogenase (hexadecanoyl-CoA)","fad[c] + pmtcoa[c]  <=> fadh2[c] + hdd2coa[c]","FadE (b0221)","b0221","FadE","Membrane Lipid Metabolism","1.3.99.3",1,-1000,1000,0
"32","ACOATA",-3.3497762878,0.2026449742,"Acetyl-CoA ACP transacylase","ACP[c] + accoa[c]  <=> acACP[c] + coa[c]","( AcpP (b1094)  and FabHec (b1091)  )","(b1094 and b1091)","( AcpP and FabHec )","Membrane Lipid Metabolism","2.3.1.38",1,-1000,1000,0
"33","ACOTA",-0.0957027744,2.58143367841879e-13,"acetylornithine transaminase","acorn[c] + akg[c]  <=> acg5sa[c] + glu-L[c]","( AstC (b1748)  ) or ( ArgD (b3359)  )","(b1748 or b3359)","( AstC ) or ( ArgD )","Arginine and Proline Metabolism","2.6.1.11",1,-1000,1000,0
"34","ACSERtex",-0.2822844264,0,"O-Acetyl-L-serine transport via diffusion (extracellular to periplasm)","acser[e]  <=> acser[p]","( OmpN (b1377)  ) or ( OmpC (b2215)  ) or ( PhoE (b0241)  ) or ( OmpF (b0929)  )","(b1377 or b2215 or b0241 or b0929)","( OmpN ) or ( OmpC ) or ( PhoE ) or ( OmpF )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"35","ADEt2rpp",-0.1865530755,0,"adenine transport via proton symport (reversible) (periplasm)","ade[p] + h[p]  <=> ade[c] + h[c]","( YicE (b3654)  ) or ( YieG (b3714)  )","(b3654 or b3714)","( YicE ) or ( YieG )","Transport, Inner Membrane",NA,1,-1000,1000,0
"36","ADEtex",-0.1865530755,0,"adenine transport via diffusion (extracellular to periplasm)","ade[e]  <=> ade[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"37","ADK1",-8.22985771937749e-06,0.0955831737,"adenylate kinase","amp[c] + atp[c]  <=> 2 adp[c]","Adk (b0474)","b0474","Adk","Nucleotide Salvage Pathway","2.7.4.3",1,-1000,1000,0
"38","ADK3",-1000,3.4221148169,"adentylate kinase (GTP)","amp[c] + gtp[c]  <=> adp[c] + gdp[c]","Adk (b0474)","b0474","Adk","Nucleotide Salvage Pathway",NA,1,-1000,1000,0
"39","ADK4",-3.3497762878,0,"adentylate kinase (ITP)","amp[c] + itp[c]  <=> adp[c] + idp[c]","Adk (b0474)","b0474","Adk","Nucleotide Salvage Pathway",NA,1,-1000,1000,0
"40","ADNt2rpp",-1000,0,"adenosine transport in via proton symport, reversible (periplasm)","adn[p] + h[p]  <=> adn[c] + h[c]","XapB (b2406)","b2406","XapB","Transport, Inner Membrane",NA,1,-1000,1000,0
"41","ADNtex",-0.0608574333,0,"adenosine transport via diffusion (extracellular to periplasm)","adn[e]  <=> adn[p]","Tsx (b0411)","b0411","Tsx","Transport, Outer Membrane",NA,1,-1000,1000,0
"42","AGMtex",-0.0957027744,0,"agmatine transport via diffusion (extracellular to periplasm)","agm[e]  <=> agm[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"43","AGPR",-0.0957027744,0,"N-acetyl-g-glutamyl-phosphate reductase","acg5sa[c] + nadp[c] + pi[c]  <=> acg5p[c] + h[c] + nadph[c]","ArgC (b3958)","b3958","ArgC","Arginine and Proline Metabolism","1.2.1.38",1,-1000,1000,0
"44","AIRC3",-0.3435460296,0,"phosphoribosylaminoimidazole carboxylase (mutase rxn)","5aizc[c]  <=> 5caiz[c]","PurE (b0523)","b0523","PurE","Purine and Pyrimidine Biosynthesis",NA,1,-1000,1000,0
"45","AKGt2rpp",-0.2178542628,0,"2-oxoglutarate reversible transport via symport (periplasm)","akg[p] + h[p]  <=> akg[c] + h[c]","KgtPec (b2587)","b2587","KgtPec","Transport, Inner Membrane",NA,1,-1000,1000,0
"46","AKGtex",-0.2178542628,0,"alpha-ketoglutarate transport via diffusion (extracellular to periplasm)","akg[e]  <=> akg[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"47","ALAALAtex",-0.0845642758,0,"D-alanyl-D-alanine (DalaDala) transport via diffusion (extracellular to periplasm)","alaala[e]  <=> alaala[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"48","ALAt2rpp",-1000,0,"L-alanine reversible transport via proton symport (periplasm)","ala-L[p] + h[p]  <=> ala-L[c] + h[c]",NA,NA,NA,"Transport, Inner Membrane",NA,1,-1000,1000,0
"49","ALATA_L",-1000,1000,"L-alanine transaminase","akg[c] + ala-L[c]  <=> glu-L[c] + pyr[c]","( AlaA (b2290)  ) or ( AlaC (b2379)  )","(b2290 or b2379)","( AlaA ) or ( AlaC )","Alanine and Aspartate Metabolism","2.6.1.2",1,-1000,1000,0
"50","ALAtex",-0.46,0,"L-alanine transport via diffusion (extracellular to periplasm)","ala-L[e]  <=> ala-L[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"51","ALCD19",-0.23,0,"alcohol dehydrogenase (glycerol)","glyald[c] + h[c] + nadh[c]  <=> glyc[c] + nad[c]","FrmA (b0356)","b0356","FrmA","Alternate Carbon Metabolism","1.1.1.1",1,-1000,1000,0
"52","ALCD2x",-0.46,0,"alcohol dehydrogenase (ethanol)","etoh[c] + nad[c]  <=> acald[c] + h[c] + nadh[c]","( AdhP (b1478)  ) or ( AdhE (b1241)  ) or ( FrmA (b0356)  )","(b1478 or b1241 or b0356)","( AdhP ) or ( AdhE ) or ( FrmA )","Pyruvate Metabolism","1.1.1.1",1,-1000,1000,0
"53","ALLTNt2rpp",-0.2989226201,0,"allantoin transport in via proton symport (periplasm)","alltn[p] + h[p]  <=> alltn[c] + h[c]","AllP (b0511)","b0511","AllP","Transport, Inner Membrane",NA,1,-1000,1000,0
"54","ALLTNtex",-0.2989226201,0,"allantoin transport via diffusion (extracellular to periplasm)","alltn[e]  <=> alltn[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"55","ANHGMtex",-0.0646726494,1.61131563338992e-13,"GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm)","anhgm[e]  <=> anhgm[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"56","ARBt2rpp",-3.3497762878,7.39086768,"L-arabinose transport via proton symport (periplasm)","arab-L[p] + h[p]  <=> arab-L[c] + h[c]","AraE (b2841)","b2841","AraE","Transport, Inner Membrane",NA,1,-1000,1000,0
"57","ARGAGMt7pp",-0.0957027744,0.0957027744,"Arginine/agmatine antiport (periplasm)","agm[c] + arg-L[p]  <=> arg-L[c] + agm[p]","AdiC (b4115)","b4115","AdiC","Transport, Inner Membrane",NA,1,-1000,1000,0
"58","ARGtex",-0.0957027744,0,"L-arginine transport via diffusion (extracellular to periplasm)","arg-L[e]  <=> arg-L[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"59","ASAD",-0.7209691656,0,"aspartate-semialdehyde dehydrogenase","aspsa[c] + nadp[c] + pi[c]  <=> 4pasp[c] + h[c] + nadph[c]","Asd (b3433)","b3433","Asd","Threonine and Lysine Metabolism","1.2.1.11",1,-1000,1000,0
"60","ASNt2rpp",-3.3497762878,0,"L-asparagine reversible transport via proton symport (periplasm)","asn-L[p] + h[p]  <=> asn-L[c] + h[c]","AnsP (b1453)","b1453","AnsP","Transport, Inner Membrane",NA,1,-1000,1000,0
"61","ASNtex",-0.4182179432,0,"L-asparagine transport via diffusion (extracellular to periplasm)","asn-L[e]  <=> asn-L[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"62","ASPt2rpp",-1000,3.3497763078,"L-aspartate transport in via proton symport (periplasm) reversible","asp-L[p] + h[p]  <=> asp-L[c] + h[c]",NA,NA,NA,"Transport, Inner Membrane",NA,1,-1000,1000,0
"63","ASPTA",-0.7564115502,-3.84460767133632e-13,"aspartate transaminase","akg[c] + asp-L[c]  <=> glu-L[c] + oaa[c]","AspC (b0928)","b0928","AspC","Alanine and Aspartate Metabolism","2.6.1.1",1,-1000,1000,0
"64","ASPtex",-0.4373863298,0,"L-aspartate transport via diffusion (extracellular to periplasm)","asp-L[e]  <=> asp-L[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"65","ATHRDHr",-8.6004969693,0,"L-allo-threonine dehydrogenase","athr-L[c] + nadp[c]  <=> 2aobut[c] + h[c] + nadph[c]","YdfG (b1539)","b1539","YdfG","Threonine and Lysine Metabolism",NA,1,-1000,1000,0
"66","ATPM",-0.0005159992,2.9775857944,"ATP maintenance requirement","atp[c] + h2o[c]  -> adp[c] + h[c] + pi[c]",NA,NA,NA,"Unassigned",NA,0,3.15,1000,0
"67","ATPS4rpp",1.88546988594034e-06,2.6752444551,"ATP synthase (four protons for one ATP) (periplasm)","adp[c] + pi[c] + 4 h[p]  <=> atp[c] + 3 h[c] + h2o[c]","( AtpF0 ( b3736 and b3737 and b3738 )  and AtpF1 ( b3731 and b3732 and b3733 and b3734 and b3735 )  and AtpI (b3739)  ) or ( AtpF0 ( b3736 and b3737 and b3738 )  and AtpF1 ( b3731 and b3732 and b3733 and b3734 and b3735 )  )","(((b3736 and b3737 and b3738) and (b3731 and b3732 and b3733 and b3734 and b3735) and b3739) or ((b3736 and b3737 and b3738) and (b3731 and b3732 and b3733 and b3734 and b3735)))","( AtpF0 and AtpF1 and AtpI ) or ( AtpF0 and AtpF1 )","Oxidative Phosphorylation","3.6.3.14",1,-1000,1000,0
"68","CAt6pp",-1000,0,"calcium / sodium antiporter (1:1)","ca2[c] + na1[p]  <=> na1[c] + ca2[p]","YrbG (b3196)","b3196","YrbG","Inorganic Ion Transport and Metabolism",NA,1,-1000,1000,0
"69","CBMKr",-1.6748881439,0.4685420049,"Carbamate kinase","atp[c] + co2[c] + nh4[c]  <=> adp[c] + cbp[c] + 2 h[c]","( ArcCec (b0521)  ) or ( YahI (b0323)  ) or ( YqeA (b2874)  )","(b0521 or b0323 or b2874)","( ArcCec ) or ( YahI ) or ( YqeA )","Unassigned","2.7.2.2",1,-1000,1000,0
"70","CGLYtex",-0.0957027744,0,"L-Cysteinylglycine transport via diffusion (extracellular to periplasm)","cgly[e]  <=> cgly[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"71","CITtex",-0.2763326747,0,"citrate transport via diffusion (extracellular to periplasm)","cit[e]  <=> cit[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"72","CO2tex",-1.38,0.8513398975,"CO2 transport via diffusion (extracellular to periplasm)","co2[e]  <=> co2[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"73","CO2tpp",-1.38,1.380584,"CO2 transporter via diffusion (periplasm)","co2[p]  <=> co2[c]","SPONTANEOUS (s0001)","s0001","SPONTANEOUS","Transport, Inner Membrane",NA,1,-1000,1000,0
"74","CRNDt2rpp",-3.3497762878,1000,"D-carnitine outward transport (H+ antiport)","crn-D[p] + h[p]  <=> crn-D[c] + h[c]","ProPec (b4111)","b4111","ProPec","Transport, Inner Membrane",NA,1,-1000,1000,0
"75","CRNt2rpp",-1000,0,"L-carnitine outward transport (H+ antiport)","crn[p] + h[p]  <=> crn[c] + h[c]","ProPec (b4111)","b4111","ProPec","Transport, Inner Membrane",NA,1,-1000,1000,0
"76","CTBTt2rpp",-3.3497762878,0,"cronobetaine outward transport (H+ antiport)","ctbt[p] + h[p]  <=> ctbt[c] + h[c]","ProPec (b4111)","b4111","ProPec","Transport, Inner Membrane",NA,1,-1000,1000,0
"77","CTECOAI6",-0.6471832241,0.3688982239,"3-cis-2-trans-enoyl-CoA isomerase","tdecoa[c]  <=> td2coa[c]","FadB (b3846)","b3846","FadB","Membrane Lipid Metabolism","5.3.3.8",1,-1000,1000,0
"78","CTECOAI7",-0.6471832241,0.6471832272,"3-cis-2-trans-enoyl-CoA isomerase","hdcoa[c]  <=> hdd2coa[c]","FadB (b3846)","b3846","FadB","Membrane Lipid Metabolism","5.3.3.8",1,-1000,1000,0
"79","CTECOAI8",-0.0010174712,0.6471832271,"3-cis-2-trans-enoyl-CoA isomerase","odecoa[c]  <=> od2coa[c]","FadB (b3846)","b3846","FadB","Membrane Lipid Metabolism","5.3.3.8",1,-1000,1000,0
"80","CYStex",-0.0957027744,0,"L-cysteine transport via diffusion (extracellular to periplasm)","cys-L[e]  <=> cys-L[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"81","CYTDt2rpp",-1000,0,"cytidine transport in via proton symport, reversible (periplasm)","cytd[p] + h[p]  <=> cytd[c] + h[c]","XapB (b2406)","b2406","XapB","Transport, Inner Membrane",NA,1,-1000,1000,0
"82","CYTDtex",-0.0608574333,0,"cytidine transport via diffusion (extracellular to periplasm)","cytd[e]  <=> cytd[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"83","CYTK1",-1.1165920959,3.3497763078,"cytidylate kinase (CMP)","atp[c] + cmp[c]  <=> adp[c] + cdp[c]","Cmk (b0910)","b0910","Cmk","Nucleotide Salvage Pathway","2.7.4.14",1,-1000,1000,0
"84","CYTK2",-0.0608574333,3.3497763078,"cytidylate kinase (dCMP)","atp[c] + dcmp[c]  <=> adp[c] + dcdp[c]","Cmk (b0910)","b0910","Cmk","Nucleotide Salvage Pathway","2.7.4.14",1,-1000,1000,0
"85","DADK",-0.0608574333,3.3497763078,"deoxyadenylate kinase","atp[c] + damp[c]  <=> adp[c] + dadp[c]","Adk (b0474)","b0474","Adk","Nucleotide Salvage Pathway","2.7.4.11",1,-1000,1000,0
"86","DALAtex",-0.1691285516,0,"D-Alanine transport via diffusion (extracellular to periplasm)","ala-D[e]  <=> ala-D[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
